author_name,rating,text
Daniel Storm,2,"Watch out! In the mens changing rooms there are someone unscrewing the locks so they can open the lockers even if you have your own lock on.

This has been a big problem over the last year. And Fitness World do not inform you about this!!!!"
Eduardo Simões,1,"Attention! I have noticed some screws missing in the locks of the locker room (males). This allows the door to be opened even with a lock. Always choose a locker with screws as the screws cannot be removed with a lock on. Also, booking system is problematic."
Navid Mosadeghi,5,It’s clean and well equipped.
Matthew Horner,5,"Amazing gym very large with everything you could possibly need! A seperate section for each body part I.e. legs, chest etc. Also includes a sauna and showers but never used it but from what I saw looks great!"
donny,1,"This gym has seen better days. Devices are old, often broken or make squeaking noises. Steam sauna closed down permanently. Regular sauna and showers are broken since weeks. Not worth the high fees. You find better gyms in Copenhagen for half of the price."
Dan Leonhardt,2,"Wasted potential. This could be a good gym, but their obvious desire to minimize spending really hurts the customer experience.

Equipment is broken for weeks (sometimes months) at a time. Showers work intermittently, and when down, also take weeks to fix.

Locker room has lots of almost all half size lockers (many of which are broken) and these are only half occupied even at peak times. So why not install a room of full length lockers and keep them in working order? That would cost money. Can't do that it would seem.

There was a steam room. It was closed in early 2022, supposedly due to high energy prices at the time. Never reopened. No reason given, other then the ridiculous argument that somehow, by keeping it open, the whole business would fail and the gym would then have to close down.

And the minimal staffing means there's nobody to enforce the rules (CLEAN THE MACHINE WHEN YOU ARE DONE!) or do little things like fill up soap dispensers in the bathrooms and showers."
Joshua Formentera,4,An excellent location Gym few minutes walk to the main city street. The gym is located in the ground level and has complete running facilities and gym equipment for power lifting and bodybuilding.
Boris Sipkovsky,3,Good gym with everything you can think of. Equipment nearing a need of refresh and staff nowhere to be found. But can do proper training here
Krisztián Lehotzky,5,I really enjoyed running and exercise here in this beautiful environment with the lake.
Mykolas Rainys,3,Gym for kids.
Ulla Mo Andersen,5,Very cool after the walk with outdoor training
Leander Sørensen (LENR),5,"3 small training sites. Fine.
Nothing worth seeing."
Lotte Chili Franijeur,5,"Super cool training, skilled physiotherapist and good atmosphere 💪"
Henar Luque,4,"Super convenient place as it is in the middle of Nørrebro. The place is a little rusty but it has all needed for exercising and more. Also Arca has many different places all around the city so if you are thinking about starting to do some exercises and taking care of your health, I recommend you to check it out. Trainers are nice and well versed and will guide you through each exercise and movement. Also, they often can take the class in English if you ask. Good fitness journey."
gabriela geneyro,1,"Be careful with the membership disclaimer, they like to take advantage and collect money scamming you. I didn't use the facilities for 6 months because of health issues [among other things], and they  sent me a letter and charged me KR 1,109. Horrible experience for me, they lost a customer for ever."
Ievgeniia,1,"Some instructors should be trained better on how to react in case person gets an injury in class. I had an overall good experience with CrossFit Copenhagen, but one unqualified teacher with unprofessional behavior made me change my mind.
Basics should be obvious - if someone at your class gets heavily injured, you need to take care of them and help, not just ask them leave immediately."
Diane Lee,1,"Outrageous company. Complete absence of professionalism or customer service. ALL of my classes got cancelled last month for some unknown reason, and Crossfit CPH refused to refund me for the membership. This kind of ""Just deal with it - we don't care about you"" attitude from them, is incredibly annoying. I will cancel my membership as soon as I can."
Shameer Kustagi,1,"Same here, I had registered too and cancelled on time but they charged 300 dkk for no reason and there is no number to call them either - how is that possible and makes me wonder which century are we living in? All big talks and show off! zero professionalism."
Pernille O.,5,"Great gym, they also have physical therapy (how I know this place) and what ever workout you like. They have a tons of classes from yoga, spinning, crossfit, pilates, TRX, dance and all the machines you would want in a gym. They have big changing rooms and showers and lockers. All the personal I have met so far were super friendly. They have competitive prices."
Fisun Eriksen,5,"Favorite gym. Machines and the fitness program is very good, there is a classy boutique fitness atmosphere . The members are also better than many other fitness clubs I tried. I have been member of the place for nearly four years and visit minimum five times a week 😉💪"
Lena Hammes,5,High quality physiotherapeutic treatment and very well organized. I can only recommend Fysisk Form in Vesterbro. I was treated by Camilla Hofman Hansen and was very happy! Super professional aswell as caring for the person.
sikander Shah,5,"Great,cosy gym catering to all ages and has its own physio clinic with top professional therapists."
søren borring,5,"Relaxed atmosphere, with no heavy weight lifting"
Valash Copenhagen,5,"Copenhagen marathon 2022, Maj 15 2022.
The  City of Copenhagen  Denmark will be hosting marathon for the first time after COVID 19 lock.
Many of the locals are excited same time Copenhagen city is  Busy with guest from international community ready to participate and being part of the event.
For  the  participants Runners  the city has prepared several activity and place for your Wellness and training before the event.
For many  it's a moment you train your body  muscles and Skills in running long distance . The spectators remain Closer to give you Support during the race.  As the Day Closes everyone feels fulfilled for being part of an activity In the community.
Just few notes For your preparation
Get your self comfortable wear To use that will support you.
Finding a gym or training areas where you can train your Body wellness  Before the Actual day.
Getting a new Nutrition and balanced  diet food wellness Before the  actual day .
Mental healthcare  wellness preparation.

Recommendation  visit Barry's fitness located in the mid of Copenhagen that offers a gym fast and a clean space to train  and with help of the trainer.
It is clean and well located For tourists looking for a space with no binding or monthly usage it's a best Space.

Cleanliness ✅💯🌳
Green energy powered ✅💯🌳
Great Team smiling and Customer service representative ✅💯
Facilities ✅🌳💯👌
Trainers 💯🌳✅
Accessories 💯👌

Copenhagen City is excited to host the  event.
Your well being is our  Priority during these years marathon 2022 And we Share Support
Copenhagen Denmark
Marathon 2022🌐💎✅👌💯"
Phai Dip,5,Barry’s bootcamp is quite simply the best workout in the world. Another great atmosphere branch with staff that really looks like they’re enjoying themselves. Highly recommend.
Paul Dariye,5,"Werk it! Imagine a gym in a club or a club with a gym with some of the prettiest people who also happen to be easygoing and approachable. That’s Barry’s!

I had fun, I enjoyed some good tunes, and I got a workout."
Amy Eldridge,5,"Visited from my home studio(s) in Houston and Washington, D.C.  It's always a great workout!"
Angela Eva A.,5,"If you like to get Energy into your bloodstream, that’s the place to go. ☀️
The personnel is also very nice and helpful 👍"
Lewis Atkins,2,"Just a very bad gym. Staff don’t really care, don’t blame them tbh it’s miserable in here. All-in deal is bad value. Lots of equipment but the space is pretty sad and windowless"
Rune Perstrup,1,"An Unhygienic Coronavirus Petri Dish.

I have been working out in several Fitness world centers around Copenhagen, and when it comes to basic matters of hygiene, this center is the worst. I have visited the center a couple of times so what I describe here is not an outlier.

There is an extreme limited number cleaning liquid dispensers - usually 1 or 2 per large room

Nobody cleans their equipment after use. Nor does the staff encourage basic hygienic behavior.

I have not at any point seen any employees go about doing their cleaning routine.

I find this lack of responsibility astounding since we are in the middle of a hotspot in the middle of a pandemic. I have visited other fitness world centers that do take their responsibility seriously."
Mario Piazza,1,"In a huge gym there is only one hair dryer and it’s not working. I asked the staff to fix it one week ago and they told me they will replace it immediately. Today still the same problem and it’s even dangerous as the wire is open. I told the staff guy that I suffered from sinusitis and have to blow my long hair. I even asked him to give me the one in the women’s changing room for few minutes. He said the hair dryer is fixed. When I asked him how is it possible that in such a huge gym there is no other hair dryer, he told me that they didn’t bring the new hair dryer yet and there is no other one. Unacceptable."
Emil Lassen,5,"It's a great gym with basically everything you could want or need, there is access to lockers both in the dressing rooms and when you enter the center. You enter using a card or bracelet, which is great since it's open 24/7. The only bad thing is that some of the members, don't put their plates and dumbbells back where they belong."
Frank Ejby Poulsen,3,"The gym is great, spacious and has everything, and the personel is friendly and helpful.

However, the gym members are often not aware at all of gym etiquette: sharing gym equipment, respecting common spaces to allow other users to access the equipment, or even being just nice and polite. It's happened to me that I asked a user if I could borrow the dumbbells for a quick set after he finished a set, to which he reacted angrily saying that they were his and I had to wait for him to be done. When expressing my surprise and thinking he was rude, he chased me to ask me angrily what he did wrong, he's using them, they're his, what's wrong with that? I tried to explain that I only needed them for one set as he was done with his, while he was resting, since there were no other available. To which he replied that I could go to the other end of the gym to get the same ones, and he does not see why he has to share them with me since he is using them. I trained with other weights, and after I finished my 3 sets, he was still not done with the weights. So, I could have waited a long time for him to be done. That's just one example among many others. Very often people train right in front of the dumbbells rack, admiring themselves in the mirror, hence occupying the whole area in front of the rack and not allowing anyone to pick dumbbells. Once I tried to explain, and just received an angry answer that he moved away so there was space, why am I making a problem? He didn't see any problem. But at this stage, I think it's just a problem of education and behaviour in common spaces, more than a lack of knowledge about gym etiquette.

Moreover, many users do not even respect the gym's clearly specified rules at all: no training with your bag in the gym, no outdoor shoes for training, using disposable shoe covers when entering the gym, or cleaning the equipment after use. Obviously, training during peak hours is a nightmare, and it is best to train when it is less crowded."
Joonas Toivonen,4,"Good gym at a great location. Friendly staff. Unfortunately Danes do not know gym etiquette: all weights are left on barbells. That's a big minus, but not fully FitnessDK's fault."
Arise Christensen-Cordes,2,"Great staff! Helpful and friendly!
But the center itself feels rusty and old compared to SATS on nørrebro."
Leigh Brocklehurst,4,"Great friendly, helpful  staff. Spacious training areas…Air conditioning would be nice in summer !!!"
Natalia,2,Why do you have so few group classes comparing to other Sats places? Its unfair
Mattias Fjellström,4,Pretty large gym. Large section for CrossFit-type training and even larger section with machines.
sezen dandinoğlu,5,"I was looking for a sports club in Copenhagen for boxing. Then I found SHC Scandinavia. I take Muay Thai and boxing classes here. I have never practiced Muay Thai before. You can also start from scratch. You are in good hands ;)
SHC personnels are professional. The trainers care about you and all members during the class, explain every movement, and give feedback at that moment. There is no language barrier, we communicate in English. Changing rooms are clean. They pay attention to the hygiene of the environment and the commonly used equipment.
I recommend SHC Scandinavia for those who are looking for a different option. Before the membership go and visit them. They will answer all of your questions :)"
Jacob Barreth,5,"Best gym around. Great features, good locations and the best staff"
Sam Nasif,2,"Located inside radisson blu hotel. The gym is clean and specious, it’s more suitable for functional training than weightlifting although it has dumbbells rack and a couple of cable machines. Personal trainers are very common there and they can be powerful that they hang on to multiple machines at once for their trainees without giving a timeframe when they will let go of one of the machines with the “I’m still using it” attitude. So better hire a trainer or you’ll end up doing cardio only."
XoloTravel XT,5,"very nice place
one of my best gym/fitness center"
redyy,5,Mm
Jacob Gottenham,3,this gymnasium veri far away;((
nodirghat,5,Hmm
Eskild Wagner,1,I was hung from the flagpole at a school party because I didn't have an arc jacket
fionategner,2,no canteen :( and not enough parties
dele alli,5,Nice place with high ceilings
Salo Al,5,"Lovely place, classes and people!

The community is strong and you will find like minded people who are dedicated to what they do.

Highly recommended :)"
Marc Alvado,5,"Good facility, perfect equipement if you are into boxing / thaï boxing and/or crossfit. No bodybuilders looking at their reflection in the mirror here. Atmosphear between members is very friendly."
Mikkel Rask,4,"Edit: You have to take less than 6 years to reply on a review, to earn the last one."
Jonas Meier Uldall,5,"Very nice high end gym. I have been going there for about 6 months.
It is never too crowded and very talented coaches are always willing to help."
Karolis Dumbrovas,2,"Its not a gym, its an underground (literally) box with just a few machines. Especially lacking of ventilation (during the corona times you dont want that), and rather small. Although it felt cozy and the receptionist was really nice."
Saxoboy,4,"Big but cosy gymnasium, also used for music lessons."
Duc Hl,5,"So amazing, many talent young people"
Luna Holm,5,I love it... ANTHON EDWARDS
Oliver Sande,5,God gym
Tasalak Thonghong,5,Great atmosphere
nodirghat,4,Good
Charlotte Krogh,1,"Worst High School in Denmark. If not in the whole world. Don't let your kids go there. Unprofessional teachers and principal who do not take the students seriously when they come with an inquiry and problem. Teachers kept their distance when they knew the student was not vaccinated and made inappropriate and unnecessary comments. Students are treated differently and differently based on their race and ethnicity. Teachers who could come up with comments
and statements such as ""You can run me to Christmas"" and ""I hope you don't come to the exam, because then you will all fail"". This high school goes to great lengths to present itself as ""competent citizens"", but this is not the case at all. On the contrary. This high school is the reason why many previous students have not been able to study their dream education, as they give unfair grades WITHOUT making arguments for the applicable grade. The teachers at this high school tend to ask the students to appear interested and nice ""what education do you want to pursue in your near future"" so they can be sure to destroy your dream with unfair grades and feedback."
Eric Walter,5,"They sell really good capri sonnes and the teachers seem very nice, regards eric walter ceo"
David Stig Wülser,5,Very cool high school!
Mohammad Kazem,5,
Búi Helgason,1,"Way too gravy.
Phew!
Bad and nonsensical teachers who don't even get to know the material.
Better not go here."
Default Strafezzz,1,I have experienced exactly the same as Eskild Wagner.
Elias Lunøe,5,"I've had three fantastic years at this high school. Steen and Sami are probably the best teachers in Denmark, so try to get them."
Eskild Wagner,1,I was pushed into the blackboard by my biology teacher because I thought micro-organisms were what you got when you sneezed
Johan Sejersbøl,5,The neighbors seem really nice and nice
李梨,3,"Aaaaa Who can tell me how to enter the Gym at 6pm? I signed up a Pliates course, but I can’t find the entrance. The doors was closed."
Mr Toast,1,Worst place to take a education. The teachers don’t care about you and won’t try to help you. The management will try find anything on you so that they can remove you. Racist teachers had one tell me “I’m gonna place my bag here hopefully you don’t steal it” as the only person with color in the class that was not funny to experience. The class did not even find the comment funny so it had to be a bad comment with bad intent.
Bianca Rasmussen,5,Ørestad High School is a beautiful modern building with its signature staircase connecting the students together on all floors.
Janaka Neranjan,3,High school
Chloe Thea Rin Ulsing 2021b,1,#nomercy
Big Wasabi,5,"I went to DFG when it was located in Birkerød. At the time, it received half of the government's subsidy. I don't know how it works today. What was so important about my time at DFG was that I became skilled at thinking independently and learning to make rational, intelligent decisions. I also learned a lot about respecting other culture and a lot about history and other important things. I'm sure the school is just as good nowadays. I had good teachers and am happy with my 3 years at this completely unique school with a progressive form of education."
Magdalena Pressler,5,❤️
Viktor El poderoso,5,a super nice school! cheers cheers
Noah Wentzlau,5,Don't go to that school
Its that boi depression,4,Better than Nørre Gymnasium
Magnus Ors,5,"The best technical gymnasium in Copenhagen. Has its own cinema, and even 3d printers."
Christopher Groenskov,5,"Excellent quality, very accommodating seller, well-packaged, shipped immediately, will order again."
Magnum,5,Based
Everything With Jacklee,5,Love this
Bo Thomsen,5,A good school :-)
Aguina Knudsen,5,Excellent customer service care quick response and precise information.
Filip Binderup,5,"Delicious food at a nice cheap price. The drinks are a little expensive, but the atmosphere makes up for it. I got a portion of sauce with pasta which was extremely satisfying and a true delicacy."
Karsten Bach,5,"HKGYM is the offer of an educational journey. 'Education', as in respect for other people, is an important virtue that allows us to rise above the mediocre and set standards that are vital for a sustainable life and society. We focus on traditional Christian values, including character building, because belief in one's own abilities, perseverance and personal discipline are keys to utilizing one's full potential."
Petrine Fjeldal,5,A school where the social presence among friends and teachers becomes a lot easier and more fun.
Gunner Binderup,5,Warm and caring. Inclusive and accepting community.
collejon sardina,5,"Alejandro is a very good student, he told me how to breath"
Nicolás Reguero,4,Alejandro is their best student and people go on bike inside the classes
Ole Jall,3,"If you want to get ahead in the world, go for it!
Nah, what a hernia !!
Or better yet, Brock!!!
That's what happens.
We hope that it will go well for them and us 🙏
In any case, they have the prospect of endurance, raw strength, courage and ingenuity 🛹🛹🛹💨"
Adri,5,They teach Spanish very well. Alejandro is a very good student.
Illán Iturrioz,3,"IES Calderón de la Barca is better, Alejandro can relate"
Eskild Wagner,1,yikes...
Terkel Jarvinen Fjellerad,5,cool
Peter S,4,Fuck it
Michael Jepsø,4,
Ida Dalberg,1,
Lucas,5,ok lol
Fizhee,5,elias
Simon Kristensen,4,"Good teachers, good students and good premises. They can also deliver a nice party and cool tours. If you live nearby it should also be an obvious choice, especially due to its small size. However, I live a bit away, which drags it down a bit."
Luna Simone,3,"its fine, the projects do not work, however, many of the premises. most teachers are nice, but there are a few who are not."
Jakob Sandfort,5,"Good choice of high school if you are looking for friends with the same ""nerdy"" interests. Committed teacher and a fantastic atmosphere"
Nicolas Bjørn Bach Toft,5,"Ask for Otto, thank me later😘"
Ellen von Freielsben,5,"Terrible school, is mega traumatized"
Robert Fyrstling,5,Goes in 7. C can clearly recommend it to others
GREEN IT,5,The city's... maybe the country's best school
Johannes Langen,5,I have done an internship where it is really good
nodirghat,4,Nice
Anders Olesen,1,Bad management who don't care about well-being. The study counselors don't do much
Mimi Holm,4,"I took my student exam here many years ago. Back then we learned how to square dance for the traditional annual party. We also performed the Odyssey. Was on stage with the now well-known actor Søren Pilmark. Even then, it was his goal to become an actor. It was an exciting few years with our physics teacher, who most of all reminded me of doc Emmett Brown from the movie Back to the Future."
Nikolai Tofte Olesen,5,They have made a very good song.
Hiyam Hussein,5,nice school
nodirghat,4,School
Sjune _,5,"Despite the fact that the school is a dry biscuit to look at, it is quite cool😎 There are several rooms, check! Cozy atmosphere, certified playful teachers, and a boss school choir💂‍♀️
But seriously, more hamburgers😒
Shouts out to the 2 board members, you are also the boss.
Now you're probably thinking, wow, you're probably biased. To that I answer… yes. Here is pretty good📝🩼👨🏽‍🌾🤪🤖🐟🦗"
Twinkie,2,I tried to see what it could do. And it couldn't.
Adam Badawey,5,"Wallah I live there, really good it 11 out of 10"
Cowpoke Balga,1,People are whack and not enough hamburgers are sold since half the school is vegan
Daniii,5,Nice
Mr. Emin,5,"Good school, with many different students, and there is a canteen, the prices are a bit bad but fine enough, there is a cinema and computers, etc."
Melvin Bidstrup,5,Really cool establishment and a generally good experience in the building with lots of history
Cupids Heaven,1,"This place is garbage.

It doesn't really matter which field of study you choose, as you will most likely never work with it in high school.

I don't know who makes the charts, but I sincerely hope they never have children so that their indifferent, pathetic bloodline stops here.

Very few of the teachers here are good. Most are constantly late for their own classes, and some of them are generally just terrible at their work (learning from themselves).

I hate this place with all my heart."
Bullowich,1,if there are problems at school you get a conversation with the study counselor in a not so nice tone which then ends with total ignoring where they hope they can get you to stop. has happened to several….
Anton Birch,5,"who asked Bob, step back to your mother's basement"
Finn Pehrson,5,Overwhelming emotions when handing over diplomas.
Bob Marley,2,Cannot be recommended. Low level.
Josias Holm,1,
Nick Jørgensen,5,
Gianmario Piras,2,"I give this gym 2 stars because it is not worth what it costs for me. It should be a better level than many others that cost half but, there aren't many courses available, in fact they are few, the cardio machines half have been broken for months. In the changing rooms there is always a lack of paper and soap in the showers. For 449 kr I don’t even have a drink included, if it weren't for it being close to my house I would definitely go back I wouldn't stay. At least the music it’s really good, and the staff is kind. 😊"
Julie Taeko,5,"Absolutely love this gym, as it has a wonderful music playing at all times, and a live DJ on Tuesday evenings from 4 to 8 PM. They offer a few classes, and these gym-goers are very motivated people. So it makes you feel like you should work harder, and overall, I get a fantastic workout done! Also, this location has 2 floors."
David O. Andersen,5,"Loungey gym with a unique atmosphere. Two floors of weight and machines, live DJ at peak hours, open 24 hrs."
Tails Hon1nbo,5,"Was a Simple sign up for my relatively short visit (few weeks), even as an American that doesn't speak any Danish. The late night access was automated and worked pretty well"
Marina Orenga Sànchez,5,Really nice club with loads of equipment
Aleksandar Maricak,3,Relative okay gym. Matrix machines are not the best and the Nautilus were better before renovation. Dumbbells are not put in the correct location and it is always overcrowded. Not enough machines compared to the demand.
Type One Fitness,1,They changed the cost of a guest fee from 50kr to 69kr and the new Matrix equipment is so so so uncomfortable. Since PureGym took over this place it is easily the worst gym in Østerbro!
Ẹniọlá,4,"Go-to location.
Very spacious and always clean.
Staff are nice and helpful.
And overall atmosphere is very easy going yet focused and motivating :)

Check it out yourself though"
KlippeG,2,"Nice location, but very small center compared to how many people train there. You have to be lucky sometimes to get a treadmill. It has been a chronic problem since I started there last summer that many treadmills do not work, and unfortunately it is only getting worse. Has a good area in the basement for stretching"
Arthur Golshani,5,"Top gym ! Top équipement, ideal for foreigners as it is possible to get daily / weekly pass."
Huttan T. L,1,"As someone who have been in all FW's in Copenhagen, this place is by far the most horrid. Rude staff who seems like they hate their life. They lack a total grasp on how to give service (Talking ESPECIALLY the female ones). There is also ZERO atmosphere and place is very dirty and STINKS  utterly on each of its three (Small) floors . Just find another place than this, because this place is so outrageously bad it drains you from all motivation. Not exaggerating."
Mathias Moslund,5,Good gym!
Lisa Apers,3,"Okay, it would however be really nice to have an indicator somewhere of how crowded it is. Also sometimes they play the music really loud (so loud that with headphones with noise cancelling even at the highest volume I can still hear it). Not even mentioning the music taste 😶."
Krzysztof Turczyn,4,"This place is great!
They have all you need and they're open 24 hours, if it was even a bit dirty it's because lazy members do not know how to behave! People working there are trainers and office staff they are not your slave and they are not there to clean you mess! But there is one thing that drives me crazy and I was trying to ignore it but it is a bit hard now... the music when the staff leaves. If any staff employee of FW is reading it, can you PLEASE contact the staff in this gym and asked them to when they leave at 8 PM maybe set some radio or some motivational music? There was this one day that the song got stuck it was play allllllllllll night long, the same one song, and it was not even a good one, and literally after 40 mins I left coz not even my headphones helped. And yesterday there was some country music. In general after 8 there is always ""not the best music"" and I think if it's like this I'd prefer to work out in silence.
But otherwise as I mentioned great place."
Anton Nikolov,4,"The fitness center has been improved in the last months. Still no classes though. Otherwise, it has all the needed facilities for full body training. Third floor is the best one! Free weights! :)"
Geraint Nott,2,"A lot of young people go to this gym, and don't appreciate or follow gym etiquette. Often leaving weights where they use them, don't clean the machines after use and often sit for a long time looking at their phones. The gym is not staffed all the time and so no one tells these children to clean up after themselves.

Otherwise the gym is fine with modern and working machines. It can be a little cramped in some areas where the free weights are used, but this wouldn't be a problem if people were not so entitled and treated it like their personal gym."
Mike Martins,1,"The average age of the members in this gym must be somewhere around 17/18 at the most. Its pretty close to a folkeskole, hence you'll find alot of kids and teenagers in this gym.They come in large groups and take all the space (in an already very small gym) by basically playing around, acting like they're at a playground.

Other than that, the gym is very dirty and messy (This is also due to most of these teenagers neither sanitizing/cleaning up after themselves) and the music is too loud as well as being very poorly choiced songs."
Stephen Kaplan,5,"Not large, but never really crowded. The most spotless fitness club I've been to.... They are constantly cleaning and members take care of the equipment also."
N H,4,"Good place, fun courses. However, some of the info is hard to access, as most of it is in Danish only. Sometimes courses get cancelled, and I do not receive a message about it, although I have signed up."
Stefan Müller,5,"Good fitness center with weekly memberships, perfect as a tourist. Many Courses and access to every center they have (and they have many in Copenhagen)."
Ahmad Kasem Haidar,3,"Englandsvej, It's good and I enjoy training there with different machines BUT I didn't give 5 stars because we have to refill our water bottles from the toilet sink!
Hope they will make a separate place for water."
Sebastian,1,"Yet another Fitness World center, which have been worsened by the PureGym-makeover.
Strenght training has been compressed into too little space and instead they added a lot of useless cardio equipment for amateurs. It’s becoming more and more clear that the latter is the clientele which PureGyms wants to cater to - not us, who consistently go to the gym +5 times a week.
It’s such a pity with this systematic destruction of the relatively few good gyms we have."
horia cunea,5,"Great place and great staff, also Victor was very helpful ans answered all my questions very nice"
Mikhail Nikitin,4,"After renovation they made an ""open office"" environment in the changing room. Bizarre. And still no soap or shampoo in the shower."
Jennifer C,5,"Excellent gym. Many locations, good value for money, friendly staff, well equiped and huge variety of classes."
Tomas Sharky,5,"I think it's a great gym in regards to value price. Unfortunately there is no many branches. The gym is quite well equipped even with small basketball court, punch bag and paper towels. The whole gym has the urban vibe. I think it's good alternative to the well known ones in Denmark. The air ventilation does not seem to work properly, though."
Gregor Haeusler,2,"One star just for the nice location. The service ended his shift 10mins early and completely ignored me and another costumer waiting on the counter. The machines are mostly so old, they must be from the 90s. Not recommendable."
RUECKENWIND,1,"I'm shocked after reading reviews that are just 3 years old (urban gym) compared to today. Looks like it was a nice location some time ago. Since the last years the gym changed 3 times the owner. Now it's puregym and it's just disgusting. Staff (if someone is there, after 6 no one is working) is unfriendly and lazy, not motivated to help you at all. No introduction when I started there, no refund  after problems with the snack vending machines.

While heavy rain you can enjoy a shower from the roof. It's dirty as hell, everything sticks and it's disgusting to touch. And that's for all areas. Feels like the changing room is cleaned ones a week or less.

Most of the cardio machines are not working properly and cleaned max one time a day. It took 6 weeks to fix 3 bikes and 2 cross trainers. But still all of them have miss functions with the computer. To get the heart rate is a lottery and the rest of the numbers is also not working correctly. There is not even one digital clock in that gym, so smartphone or smartwatch is a must if numbers and timing is important.

If you want to take a class, good luck. There are just 2 offers at 3 dates in the week. But you pay for it.

I don't get why this location is one of the most expensive ones and I need to pay extra to train there. It's just scam and the worst gym I joined in the last 20 years.

So if you just move some irons and have lot's of experience it's totally fine to train with that old rubbish. With less experience and focus on different things you are totally lost.

The only good thing are the other people, most of them are friendly. The gym itself is just disgusting and not worth the money. That's just the review for that certain location."
Diego Alonso,3,Quite small. The free workout area is quite large
Andrei Grigorian,4,"Great gym for the price and accessibility. Very well cleaned and maintained with all the equipment you would ever need. Large free training area, kettlebells, plenty of barbells and plates."
TheFelza,1,"I was told one thing in English, then made sign something else in Danish, so they could charge me for time I wasn't even in Denmark"
Noah P,5,Great gym. 7 day free pass was available for traveling
Ricardo López,1,"Terrible.

They changes my membership 2 times without me telling to do so.
First time i has to pay a supplement of 100 dkk because a mistake of one of the brilliant guys working there.

Second time they set my main gym elsewhere, so today i had to pay 30dkk extra to go to the gym i usually go.

On top of that, the first mess they did was not fixed. It is impressive how Fitness World hire the brightest minds in Denmark."
Meritxell Fernández,5,Best FW center I have been too. Really clean and functional. The equipment is new and everything is in one floor. The only cons are the lack of hold classes.
Aditya Sachdev,4,Great place quiet a lot of space and all equipments are present.
Jakub Hupka,2,Please fix the gymnastic rings 🙏🙏 Otherwise decent gym.
Juan De Marzi,1,Weeks like this.
P-A M.,3,"I've worked out in three different gyms in Copenhagen and this one was clearly the worst. There aren't enough showers in the men's locker rooms and they are incredibly wastefull in water. Another low point is the door system letting you in the gym, which keeps denying you the entrance if you're not perfectly positioned inside the cabin - too much fuss for nothing. Also, there are many annoying teenagers that aren't there for serious training, they're loud and using the equipment for fun while other people want to go on with their workout.

Otherwise the amenities for the workout per se are good and various."
Jonas Vilkevicius,1,"Service has improved for the last 6 months, better management. However the audience that comes there is poor,  people are aggressive, taken several machines at once,  or sitting on one machine for ages prohibiting others from training, noisy, have no respect to others, often screaming . Needs some education on general public as many have no intelligence how to behave"
David Berger,4,"I’ve been a member for 3 months, and I’ve got to say the new management is doing a great job. Clean, open and welcoming. Not too many machines, but plenty of room for circuit training.

CrossFit, cardio, stretching, body weight, running, free weights, and machines."
Yousef Elnono,1,Some of their machines are old and in need of maintenance. Their treadmills are in really bad state but as you can see on the picture a technician is on the way. Months and months has passed and no sign of this technician. If you tell the staff in the center or contact then on email they will say that the they have escalated this issue but the fact is the management don’t care. It will soon be a year with no repairs being made…
Stefano Rosciano,1,"I'm foreigner and what I perceived from this gym it was:

Some of the staffs are incredible unprofessional.

Employees must be trained on which are the rules and procedures.

P.s. a bit of politeness would be appreciated

Thank you,

Steve"
Anthon Anthoniussen,2,Not the best I have been at but need some more times at the Gym before evaluating
Muhammad Naveed Anjum,4,Good
Zilong Liu,5,Few people，just do yourself and feel cozy……
Diala Géo,4,"Fitness world interesting sports club  there is a variety of sports equipment, the staff are nice, you have to avoid peak hours because there is a queue for training, the problem that I found  there aren't all the information about roles of subscription, for example when you want to take a vacation you can freeze the month, or also if you want to unsubscribe this month you have to pay another month and it was the surprise for my case and all this information is not clear at the beginning. in my opinion it better that they give notes about all the ruls and the options with 2 languages Danish and English for be Easy for all people or put it on the wall in the reception"
Rastislav Pitek,1,"I cannot comprehend how anyone could open a gym of this size without thinking about any ventilation or air conditioning whatsoever. Its humid, smelly, unpleasantly hot and always crowded… Not to mention that the distribution and number of equipment is terrible… Say good bye to bench press - you wont be able to find empty bench for you.
(But the staff is nice and kind)"
A. Sam,1,"Terrible customer service! I once been there as a guest to a class under a friend’s membership (+1 guest). I have never had a membership there and has never signed up for one, yet I have been receiving emails to pay 4 months with interest for late payment?! - and then they started sending me new emails on my e-Boks. Since when I have given you a consent to do so?? Every time I stop by the gym to raise this, there’s no one to ask. and there is no number associated with the gym to call!"
Patrik Belanyi,3,"3,5*
Good location, close to metro station.
Employees are nice and helpful.
Gym is usually clean but very small and you spend some time just waiting for machines.
Recommend to check favourite times so you can avoid busy hours.

Ventilation is probably not existing and there are so many people who don’t follow gym’s rules.
The price (319dkk) is not matching to what you get."
Max Christensen,1,"STAY AWAY!!!
They got ALL my contact informations wrong. So I had no real way of paying my monthly subscription, be course I could not log in. HAhaha. Then they went all RKI on me. Agressive bunch.
I ended up just quitting, paying the bill and moving to a better gym that's more organized."
guillaume deschamps,5,"newly renovated gym, with new and fresh equipment. the place is packed on evening, and perhaps because this is the best gym for the monthly fee in the area. Highly recommend"
Mihály Baki,5,"A decent gym. Huge, many machines of the same type, good condition."
Viktória L.,5,One of the largest gyms I have ever seen with all the machines you can imagine and the staff are really nice and helpful. Never had a problem with cleanliness! Wide variety of classes are available.
