Unnamed: 0,author_name,text,annotator
197,wandyr hagge,"Nice place for a work out. Clean. Fairly good equipments. Within the price range of other facilities. A bit under-staffed, in my opinion. Difficult to find someone to ask a question. And even If you find someone, It is not sure you will get an answer...",Gino
198,Thomas Kägi,Visited this gym during my vacation. It has Seen better times but Its still good to get some gains:-),Gino
199,Joar Torbiörnsson,Had my membership cancelled in the counter in proper time but still had to pay additional month.,Gino
200,Mikhail Nikitin,"One can talk about broken machines or dirt in the changing rooms, but I realize that things can't be ideal all the time. So I'd say it all goes relatively well until one needs to talk to someone beyond the helping guys in the centre. The company doesn't have a phone number to call. They have a chat, which main purpose seems to relay a message ""Fill in the online contact form"". When you do, there is a waiting time from hours to days. And if you get an answer, it never changes regardless whether you can prove them wrong or lying. They merely stop responding. And there's nothing you can say to someone who is not willing to listen.",Gino
201,Bas Klerk,"Great gym. It’s relatively small but has plenty of cables, freeweights and squat racks, so really everything you need. Very kind staff and chill atmosphere.",Gino
202,Nine Sofie Holmelin,"Amazing local gym! Feels way more personal and comfortable, than any other gyms I’ve been to.",Gino
203,Edi Osmani,"Very good gym.High quality Equipment ,very good treadmills and also boxing  fitness classes to get really fit ...friendly staff.I would really reccomend...",Gino
204,Helena Söderberg,"I alway feel welcome to SHC 😊 Very professional staff!! Many different classes 💪😅 PT’s and trainers to choose from, who always challenge us, always are positive, and in a good mood. Easy booking system. SHC makes me feel stronger, healthier and happier 😀",Gino
205,Christian Dich,"Was ordering a guest visit as I was considering changing to SHC. I was standing in the gym at Radisson and ringed the bell for around 10 - 15 minutes in the hours there is staffer without any service.

Would not recommend visiting when handling potential customers like that.",Gino
206,popov dimitar,"Is the busiest fitness world what i ever seen before . It’s absolutely desastre. I cannot workout normally… today i make for 1h - just 3 exercises. I recommend to nobody subscribe there . They don’t care about the occupancy… (may be we need new covid pandemy) sale and sale new memberships. Also they grow up with the price ? For what? Unfortunately I’m looking for other place with a months; just here is noone option. I hope other companies make good the marketing. Repeat: not subscribe in this gym you will sorry a lot 😪 doesn’t matter the day; weekends ; evenings or mornings all the time is full full full , no one place free to work ! You pay your money for nothing!",Gino
207,Sebastian,"Unfortunately this gym has been severely worsened by the “upgrade” in connection with the change to PureGym.
The machines (Matrix) are really bad and it seems that there’s less equipment too.
Will not be coming back.",Gino
208,Wouter Roosen,"Really like this gym,  I just think it gets a bit dirty. They vacuum every day but that seems to be it.  A lot of equipment and different types: machines,  free weights, kettle bells, balls etc... and great space too",Gino
209,Lucas C,"They should put more space to park the bikes, it is very busy in the afternoon and I didn't like that they made me take off my shoes when that rule is not written anywhere",Gino
210,Fab Indi,"Very nice gym with brand new machines. Very clean, paint is all new and staff is super nice.

Price is also great.",Gino
211,Nicolas Wirth,"Medium cleanliness, too few barbell racks compared to the total area this gym covers. Could be better, could be worse. It has never been too crowded and the clientele is nice.",Gino
212,Tyler C,"They always play games with pricing. Claim it's 134,50/month, then want to charge 143,18 with no explanation of the extra fee. It's clear you simply can't trust Fitness World.",Gino
213,Lassana Sanogo,"This gym is very clean, not overcrowded and reasonably priced. Give it a try.",Gino
214,subnet001,"If you wish to pick up heavy things and put them down again in the ugliest building in town you've come to the right place. This place has it all! It's got infinite running things, stay-still-pedallers, heavy handles, pull ropes, hard-to-pick-up-if-you're-weak balls, make-your-life-difficult machines and hulahoops. All are kept well maintained and on a leash if necessary. According to rumors, there are also classes for different things but I don't know anything about that. Get the app,  it helps with stuff I've never used and looks nice.

*EDIT* I'm revoking a star for no longer being open 24 hours! I wanna lift at night! Otherwise, no change.",Gino
215,Bill C,"399 kroner for 1 month or 75 kroner for 1 day.  No commitment or long-term contract.  The gym has everything you could want, everything is new and very nice.  Staff is also very good.  Highly recommend.",Gino
216,Jakob Stepke,Great Gym for bodybuilding. Arsenal pendulum and Hacksquat. Every hammerstrength machine. And also an area with bumper plates and CrossFit style Racks. + A big posing area,Gino
217,"Craig Kirsner, MBA",This is an amazing gym! They have everything you need for a great workout. I highly recommend it!,Gino
218,Mark Milton,"Great hardcore gym with brand new equipment. Everyone there was jacked as f, huge and roided out which is always a good sign you’re at the best gym in town.",Gino
219,Neetu Kumari,Very good gym space. And good guidance for beginners as well by the receptionist. There are in house personal trainer you can hire. Not very crowded. Overall very good. 10 min walk feom Ny ellebjerg Station.,Gino
220,Thomas Jansson,"Only 2 running machines, so not a normal gym, but mostly for body builders. Tiny unheated changing room. With a membership fee of 495DKK/month this is a joke.",Gino
221,TheFelza,"I was told one thing in English, then made sign something else in Danish, so they could charge me for time I wasn't even in Denmark",Gino
222,Theis Egeberg,"Pretty much every type of training equipment you find yourself needing. It is open 24/7 and has a nice system for entering and exiting. The place is clean and neat, and the atmoshpere is relaxed. A special plus about this center is the high ceilings making the air circulation very nice. Staff is always smiling and friendly, never felt that it was overcrowded with visitors, even at peak hours.",Gino
223,Roy Moukarzel,"One of the best places to train in Denmark. Many locations specially in Copenhagen, with good equipment.",Gino
224,Sqweebo1,"These 5 stars are for the hardworking staff who make this gym shine. If by some chance they have been laid off or furloughed due to the pandemic, please hire them all again.",Gino
225,Andre Harris,This place is really nice... has tons of machines to use and is open 24hr. Perfect if your trying to avoid the crowds.,Gino
226,Mark Saraira,"If it possible to give 0 star a will, i cancel my membership and tell the staff in the gym that i gonna move to another city, the say ok but the money for February we cannot give it to you back(i train 1 time in February), i say ok just cancel me member the say ok, now 01.03.2023 the received from my card again 239 for nothing!!, i’am in another city i cant go to the gym and they still received from my card money, stupid rules and the manager who say to me in February you will not pay anymore is lier. I will never ever update my membership again in your gym, (take my money for nothing).",Bogdan
227,Angi Las,"The Studio is not in best Shape. As Many before me wrote: it’s very small, the devices are packed!! Could be a lot cleaner - especially the toilets.
But what bothered me most is the very little amount of training devices: Not a big selection to choose from and therefore missed a lot of my usual training equipment.
The biggest critique point for me is the age of the devices: they are all old, especially the Steppers on the second floor are A NIGHTMARE. Everything could be a lot more modern.
Also big critique: the staff literally has no idea about nothing. You get different info everywhere, they don’t know anything about the contracts or what info you need to sign up for a membership. Also found all of them to have a certain „annoyed“ attitude.
I am really truly disappointed in the Studio especially because from outside it gave such a nice impression.
Will go to another fitness world studio in the future and hope that the next one will be more modern and clean und the staff maybe a little more educated.",Bogdan
228,Daniel Storm,"Watch out! In the mens changing rooms there are someone unscrewing the locks so they can open the lockers even if you have your own lock on.

This has been a big problem over the last year. And Fitness World do not inform you about this!!!!",Bogdan
229,Eduardo Simões,"Attention! I have noticed some screws missing in the locks of the locker room (males). This allows the door to be opened even with a lock. Always choose a locker with screws as the screws cannot be removed with a lock on. Also, booking system is problematic.",Bogdan
230,Navid Mosadeghi,It’s clean and well equipped.,Bogdan
231,Matthew Horner,"Amazing gym very large with everything you could possibly need! A seperate section for each body part I.e. legs, chest etc. Also includes a sauna and showers but never used it but from what I saw looks great!",Bogdan
232,donny,"This gym has seen better days. Devices are old, often broken or make squeaking noises. Steam sauna closed down permanently. Regular sauna and showers are broken since weeks. Not worth the high fees. You find better gyms in Copenhagen for half of the price.",Bogdan
233,Dan Leonhardt,"Wasted potential. This could be a good gym, but their obvious desire to minimize spending really hurts the customer experience.

Equipment is broken for weeks (sometimes months) at a time. Showers work intermittently, and when down, also take weeks to fix.

Locker room has lots of almost all half size lockers (many of which are broken) and these are only half occupied even at peak times. So why not install a room of full length lockers and keep them in working order? That would cost money. Can't do that it would seem.

There was a steam room. It was closed in early 2022, supposedly due to high energy prices at the time. Never reopened. No reason given, other then the ridiculous argument that somehow, by keeping it open, the whole business would fail and the gym would then have to close down.

And the minimal staffing means there's nobody to enforce the rules (CLEAN THE MACHINE WHEN YOU ARE DONE!) or do little things like fill up soap dispensers in the bathrooms and showers.",Bogdan
234,Joshua Formentera,An excellent location Gym few minutes walk to the main city street. The gym is located in the ground level and has complete running facilities and gym equipment for power lifting and bodybuilding.,Bogdan
235,Boris Sipkovsky,Good gym with everything you can think of. Equipment nearing a need of refresh and staff nowhere to be found. But can do proper training here,Bogdan
236,Krisztián Lehotzky,I really enjoyed running and exercise here in this beautiful environment with the lake.,Bogdan
237,Mykolas Rainys,Gym for kids.,Bogdan
238,Ulla Mo Andersen,Very cool after the walk with outdoor training,Bogdan
239,Leander Sørensen (LENR),"3 small training sites. Fine.
Nothing worth seeing.",Bogdan
240,Lotte Chili Franijeur,"Super cool training, skilled physiotherapist and good atmosphere 💪",Bogdan
241,Henar Luque,"Super convenient place as it is in the middle of Nørrebro. The place is a little rusty but it has all needed for exercising and more. Also Arca has many different places all around the city so if you are thinking about starting to do some exercises and taking care of your health, I recommend you to check it out. Trainers are nice and well versed and will guide you through each exercise and movement. Also, they often can take the class in English if you ask. Good fitness journey.",Bogdan
242,gabriela geneyro,"Be careful with the membership disclaimer, they like to take advantage and collect money scamming you. I didn't use the facilities for 6 months because of health issues [among other things], and they  sent me a letter and charged me KR 1,109. Horrible experience for me, they lost a customer for ever.",Bogdan
243,Ievgeniia,"Some instructors should be trained better on how to react in case person gets an injury in class. I had an overall good experience with CrossFit Copenhagen, but one unqualified teacher with unprofessional behavior made me change my mind.
Basics should be obvious - if someone at your class gets heavily injured, you need to take care of them and help, not just ask them leave immediately.",Bogdan
244,Diane Lee,"Outrageous company. Complete absence of professionalism or customer service. ALL of my classes got cancelled last month for some unknown reason, and Crossfit CPH refused to refund me for the membership. This kind of ""Just deal with it - we don't care about you"" attitude from them, is incredibly annoying. I will cancel my membership as soon as I can.",Bogdan
245,Shameer Kustagi,"Same here, I had registered too and cancelled on time but they charged 300 dkk for no reason and there is no number to call them either - how is that possible and makes me wonder which century are we living in? All big talks and show off! zero professionalism.",Bogdan
246,Pernille O.,"Great gym, they also have physical therapy (how I know this place) and what ever workout you like. They have a tons of classes from yoga, spinning, crossfit, pilates, TRX, dance and all the machines you would want in a gym. They have big changing rooms and showers and lockers. All the personal I have met so far were super friendly. They have competitive prices.",Bogdan
247,Fisun Eriksen,"Favorite gym. Machines and the fitness program is very good, there is a classy boutique fitness atmosphere . The members are also better than many other fitness clubs I tried. I have been member of the place for nearly four years and visit minimum five times a week 😉💪",Bogdan
248,Lena Hammes,High quality physiotherapeutic treatment and very well organized. I can only recommend Fysisk Form in Vesterbro. I was treated by Camilla Hofman Hansen and was very happy! Super professional aswell as caring for the person.,Bogdan
249,sikander Shah,"Great,cosy gym catering to all ages and has its own physio clinic with top professional therapists.",Bogdan
250,søren borring,"Relaxed atmosphere, with no heavy weight lifting",Bogdan
251,Valash Copenhagen,"Copenhagen marathon 2022, Maj 15 2022.
The  City of Copenhagen  Denmark will be hosting marathon for the first time after COVID 19 lock.
Many of the locals are excited same time Copenhagen city is  Busy with guest from international community ready to participate and being part of the event.
For  the  participants Runners  the city has prepared several activity and place for your Wellness and training before the event.
For many  it's a moment you train your body  muscles and Skills in running long distance . The spectators remain Closer to give you Support during the race.  As the Day Closes everyone feels fulfilled for being part of an activity In the community.
Just few notes For your preparation
Get your self comfortable wear To use that will support you.
Finding a gym or training areas where you can train your Body wellness  Before the Actual day.
Getting a new Nutrition and balanced  diet food wellness Before the  actual day .
Mental healthcare  wellness preparation.

Recommendation  visit Barry's fitness located in the mid of Copenhagen that offers a gym fast and a clean space to train  and with help of the trainer.
It is clean and well located For tourists looking for a space with no binding or monthly usage it's a best Space.

Cleanliness ✅💯🌳
Green energy powered ✅💯🌳
Great Team smiling and Customer service representative ✅💯
Facilities ✅🌳💯👌
Trainers 💯🌳✅
Accessories 💯👌

Copenhagen City is excited to host the  event.
Your well being is our  Priority during these years marathon 2022 And we Share Support
Copenhagen Denmark
Marathon 2022🌐💎✅👌💯",Bogdan
252,Phai Dip,Barry’s bootcamp is quite simply the best workout in the world. Another great atmosphere branch with staff that really looks like they’re enjoying themselves. Highly recommend.,Bogdan
253,Paul Dariye,"Werk it! Imagine a gym in a club or a club with a gym with some of the prettiest people who also happen to be easygoing and approachable. That’s Barry’s!

I had fun, I enjoyed some good tunes, and I got a workout.",Bogdan
254,Amy Eldridge,"Visited from my home studio(s) in Houston and Washington, D.C.  It's always a great workout!",Bogdan
255,Angela Eva A.,"If you like to get Energy into your bloodstream, that’s the place to go. ☀️
The personnel is also very nice and helpful 👍",Bogdan
256,Lewis Atkins,"Just a very bad gym. Staff don’t really care, don’t blame them tbh it’s miserable in here. All-in deal is bad value. Lots of equipment but the space is pretty sad and windowless",Bogdan
257,Rune Perstrup,"An Unhygienic Coronavirus Petri Dish.

I have been working out in several Fitness world centers around Copenhagen, and when it comes to basic matters of hygiene, this center is the worst. I have visited the center a couple of times so what I describe here is not an outlier.

There is an extreme limited number cleaning liquid dispensers - usually 1 or 2 per large room

Nobody cleans their equipment after use. Nor does the staff encourage basic hygienic behavior.

I have not at any point seen any employees go about doing their cleaning routine.

I find this lack of responsibility astounding since we are in the middle of a hotspot in the middle of a pandemic. I have visited other fitness world centers that do take their responsibility seriously.",Bogdan
258,Mario Piazza,"In a huge gym there is only one hair dryer and it’s not working. I asked the staff to fix it one week ago and they told me they will replace it immediately. Today still the same problem and it’s even dangerous as the wire is open. I told the staff guy that I suffered from sinusitis and have to blow my long hair. I even asked him to give me the one in the women’s changing room for few minutes. He said the hair dryer is fixed. When I asked him how is it possible that in such a huge gym there is no other hair dryer, he told me that they didn’t bring the new hair dryer yet and there is no other one. Unacceptable.",Bogdan
259,Emil Lassen,"It's a great gym with basically everything you could want or need, there is access to lockers both in the dressing rooms and when you enter the center. You enter using a card or bracelet, which is great since it's open 24/7. The only bad thing is that some of the members, don't put their plates and dumbbells back where they belong.",Bogdan
260,Frank Ejby Poulsen,"The gym is great, spacious and has everything, and the personel is friendly and helpful.

However, the gym members are often not aware at all of gym etiquette: sharing gym equipment, respecting common spaces to allow other users to access the equipment, or even being just nice and polite. It's happened to me that I asked a user if I could borrow the dumbbells for a quick set after he finished a set, to which he reacted angrily saying that they were his and I had to wait for him to be done. When expressing my surprise and thinking he was rude, he chased me to ask me angrily what he did wrong, he's using them, they're his, what's wrong with that? I tried to explain that I only needed them for one set as he was done with his, while he was resting, since there were no other available. To which he replied that I could go to the other end of the gym to get the same ones, and he does not see why he has to share them with me since he is using them. I trained with other weights, and after I finished my 3 sets, he was still not done with the weights. So, I could have waited a long time for him to be done. That's just one example among many others. Very often people train right in front of the dumbbells rack, admiring themselves in the mirror, hence occupying the whole area in front of the rack and not allowing anyone to pick dumbbells. Once I tried to explain, and just received an angry answer that he moved away so there was space, why am I making a problem? He didn't see any problem. But at this stage, I think it's just a problem of education and behaviour in common spaces, more than a lack of knowledge about gym etiquette.

Moreover, many users do not even respect the gym's clearly specified rules at all: no training with your bag in the gym, no outdoor shoes for training, using disposable shoe covers when entering the gym, or cleaning the equipment after use. Obviously, training during peak hours is a nightmare, and it is best to train when it is less crowded.",Bogdan
261,Joonas Toivonen,"Good gym at a great location. Friendly staff. Unfortunately Danes do not know gym etiquette: all weights are left on barbells. That's a big minus, but not fully FitnessDK's fault.",Bogdan
262,Arise Christensen-Cordes,"Great staff! Helpful and friendly!
But the center itself feels rusty and old compared to SATS on nørrebro.",Bogdan
263,Leigh Brocklehurst,"Great friendly, helpful  staff. Spacious training areas…Air conditioning would be nice in summer !!!",Bogdan
264,Natalia,Why do you have so few group classes comparing to other Sats places? Its unfair,Bogdan
265,Mattias Fjellström,Pretty large gym. Large section for CrossFit-type training and even larger section with machines.,Bogdan
266,sezen dandinoğlu,"I was looking for a sports club in Copenhagen for boxing. Then I found SHC Scandinavia. I take Muay Thai and boxing classes here. I have never practiced Muay Thai before. You can also start from scratch. You are in good hands ;)
SHC personnels are professional. The trainers care about you and all members during the class, explain every movement, and give feedback at that moment. There is no language barrier, we communicate in English. Changing rooms are clean. They pay attention to the hygiene of the environment and the commonly used equipment.
I recommend SHC Scandinavia for those who are looking for a different option. Before the membership go and visit them. They will answer all of your questions :)",Bogdan
267,Jacob Barreth,"Best gym around. Great features, good locations and the best staff",Bogdan
268,Sam Nasif,"Located inside radisson blu hotel. The gym is clean and specious, it’s more suitable for functional training than weightlifting although it has dumbbells rack and a couple of cable machines. Personal trainers are very common there and they can be powerful that they hang on to multiple machines at once for their trainees without giving a timeframe when they will let go of one of the machines with the “I’m still using it” attitude. So better hire a trainer or you’ll end up doing cardio only.",Bogdan
269,XoloTravel XT,"very nice place
one of my best gym/fitness center",Bogdan
270,redyy,Mm,Bogdan
271,Jacob Gottenham,this gymnasium veri far away;((,Bogdan
272,nodirghat,Hmm,Bogdan
273,Eskild Wagner,I was hung from the flagpole at a school party because I didn't have an arc jacket,Bogdan
274,fionategner,no canteen :( and not enough parties,Bogdan
275,dele alli,Nice place with high ceilings,Bogdan
276,Salo Al,"Lovely place, classes and people!

The community is strong and you will find like minded people who are dedicated to what they do.

Highly recommended :)",Bogdan
277,Marc Alvado,"Good facility, perfect equipement if you are into boxing / thaï boxing and/or crossfit. No bodybuilders looking at their reflection in the mirror here. Atmosphear between members is very friendly.",Bogdan
278,Mikkel Rask,"Edit: You have to take less than 6 years to reply on a review, to earn the last one.",Bogdan
279,Jonas Meier Uldall,"Very nice high end gym. I have been going there for about 6 months.
It is never too crowded and very talented coaches are always willing to help.",Bogdan
280,Karolis Dumbrovas,"Its not a gym, its an underground (literally) box with just a few machines. Especially lacking of ventilation (during the corona times you dont want that), and rather small. Although it felt cozy and the receptionist was really nice.",Bogdan
281,Saxoboy,"Big but cosy gymnasium, also used for music lessons.",Bogdan
282,Duc Hl,"So amazing, many talent young people",Bogdan
283,Luna Holm,I love it... ANTHON EDWARDS,Bogdan
284,Oliver Sande,God gym,Bogdan
285,Tasalak Thonghong,Great atmosphere,Bogdan
286,nodirghat,Good,Bogdan
287,Charlotte Krogh,"Worst High School in Denmark. If not in the whole world. Don't let your kids go there. Unprofessional teachers and principal who do not take the students seriously when they come with an inquiry and problem. Teachers kept their distance when they knew the student was not vaccinated and made inappropriate and unnecessary comments. Students are treated differently and differently based on their race and ethnicity. Teachers who could come up with comments
and statements such as ""You can run me to Christmas"" and ""I hope you don't come to the exam, because then you will all fail"". This high school goes to great lengths to present itself as ""competent citizens"", but this is not the case at all. On the contrary. This high school is the reason why many previous students have not been able to study their dream education, as they give unfair grades WITHOUT making arguments for the applicable grade. The teachers at this high school tend to ask the students to appear interested and nice ""what education do you want to pursue in your near future"" so they can be sure to destroy your dream with unfair grades and feedback.",Bogdan
288,Eric Walter,"They sell really good capri sonnes and the teachers seem very nice, regards eric walter ceo",Bogdan
289,David Stig Wülser,Very cool high school!,Bogdan
290,Mohammad Kazem,,Bogdan
291,Búi Helgason,"Way too gravy.
Phew!
Bad and nonsensical teachers who don't even get to know the material.
Better not go here.",Bogdan
292,Default Strafezzz,I have experienced exactly the same as Eskild Wagner.,Bogdan
293,Elias Lunøe,"I've had three fantastic years at this high school. Steen and Sami are probably the best teachers in Denmark, so try to get them.",Bogdan
294,Eskild Wagner,I was pushed into the blackboard by my biology teacher because I thought micro-organisms were what you got when you sneezed,Bogdan
295,Johan Sejersbøl,The neighbors seem really nice and nice,Bogdan
296,李梨,"Aaaaa Who can tell me how to enter the Gym at 6pm? I signed up a Pliates course, but I can’t find the entrance. The doors was closed.",Bogdan
297,Mr Toast,Worst place to take a education. The teachers don’t care about you and won’t try to help you. The management will try find anything on you so that they can remove you. Racist teachers had one tell me “I’m gonna place my bag here hopefully you don’t steal it” as the only person with color in the class that was not funny to experience. The class did not even find the comment funny so it had to be a bad comment with bad intent.,Bogdan
298,Bianca Rasmussen,Ørestad High School is a beautiful modern building with its signature staircase connecting the students together on all floors.,Bogdan
299,Janaka Neranjan,High school,Bogdan
300,Chloe Thea Rin Ulsing 2021b,#nomercy,Bogdan
301,Big Wasabi,"I went to DFG when it was located in Birkerød. At the time, it received half of the government's subsidy. I don't know how it works today. What was so important about my time at DFG was that I became skilled at thinking independently and learning to make rational, intelligent decisions. I also learned a lot about respecting other culture and a lot about history and other important things. I'm sure the school is just as good nowadays. I had good teachers and am happy with my 3 years at this completely unique school with a progressive form of education.",Bogdan
302,Magdalena Pressler,❤️,Bogdan
303,Viktor El poderoso,a super nice school! cheers cheers,Bogdan
304,Noah Wentzlau,Don't go to that school,Bogdan
305,Its that boi depression,Better than Nørre Gymnasium,Bogdan
306,Magnus Ors,"The best technical gymnasium in Copenhagen. Has its own cinema, and even 3d printers.",Bogdan
307,Christopher Groenskov,"Excellent quality, very accommodating seller, well-packaged, shipped immediately, will order again.",Bogdan
308,Magnum,Based,Bogdan
309,Everything With Jacklee,Love this,Bogdan
310,Bo Thomsen,A good school :-),Bogdan
311,Aguina Knudsen,Excellent customer service care quick response and precise information.,Bogdan
312,Filip Binderup,"Delicious food at a nice cheap price. The drinks are a little expensive, but the atmosphere makes up for it. I got a portion of sauce with pasta which was extremely satisfying and a true delicacy.",Bogdan
313,Karsten Bach,"HKGYM is the offer of an educational journey. 'Education', as in respect for other people, is an important virtue that allows us to rise above the mediocre and set standards that are vital for a sustainable life and society. We focus on traditional Christian values, including character building, because belief in one's own abilities, perseverance and personal discipline are keys to utilizing one's full potential.",Bogdan
314,Petrine Fjeldal,A school where the social presence among friends and teachers becomes a lot easier and more fun.,Bogdan
315,Gunner Binderup,Warm and caring. Inclusive and accepting community.,Bogdan
316,collejon sardina,"Alejandro is a very good student, he told me how to breath",Bogdan
317,Nicolás Reguero,Alejandro is their best student and people go on bike inside the classes,Bogdan
318,Ole Jall,"If you want to get ahead in the world, go for it!
Nah, what a hernia !!
Or better yet, Brock!!!
That's what happens.
We hope that it will go well for them and us 🙏
In any case, they have the prospect of endurance, raw strength, courage and ingenuity 🛹🛹🛹💨",Bogdan
319,Adri,They teach Spanish very well. Alejandro is a very good student.,Bogdan
320,Illán Iturrioz,"IES Calderón de la Barca is better, Alejandro can relate",Bogdan
321,Eskild Wagner,yikes...,Bogdan
322,Terkel Jarvinen Fjellerad,cool,Bogdan
323,Peter S,Fuck it,Bogdan
324,Michael Jepsø,,Bogdan
325,Ida Dalberg,,Bogdan
326,Lucas,ok lol,Bogdan
327,Fizhee,elias,Bogdan
328,Simon Kristensen,"Good teachers, good students and good premises. They can also deliver a nice party and cool tours. If you live nearby it should also be an obvious choice, especially due to its small size. However, I live a bit away, which drags it down a bit.",Bogdan
329,Luna Simone,"its fine, the projects do not work, however, many of the premises. most teachers are nice, but there are a few who are not.",Bogdan
330,Jakob Sandfort,"Good choice of high school if you are looking for friends with the same ""nerdy"" interests. Committed teacher and a fantastic atmosphere",Bogdan
331,Nicolas Bjørn Bach Toft,"Ask for Otto, thank me later😘",Bogdan
332,Ellen von Freielsben,"Terrible school, is mega traumatized",Bogdan
333,Robert Fyrstling,Goes in 7. C can clearly recommend it to others,Bogdan
334,GREEN IT,The city's... maybe the country's best school,Bogdan
335,Johannes Langen,I have done an internship where it is really good,Bogdan
336,nodirghat,Nice,Bogdan
337,Anders Olesen,Bad management who don't care about well-being. The study counselors don't do much,Bogdan
338,Mimi Holm,"I took my student exam here many years ago. Back then we learned how to square dance for the traditional annual party. We also performed the Odyssey. Was on stage with the now well-known actor Søren Pilmark. Even then, it was his goal to become an actor. It was an exciting few years with our physics teacher, who most of all reminded me of doc Emmett Brown from the movie Back to the Future.",Bogdan
339,Nikolai Tofte Olesen,They have made a very good song.,Bogdan
340,Hiyam Hussein,nice school,Bogdan
341,nodirghat,School,Bogdan
342,Sjune _,"Despite the fact that the school is a dry biscuit to look at, it is quite cool😎 There are several rooms, check! Cozy atmosphere, certified playful teachers, and a boss school choir💂‍♀️
But seriously, more hamburgers😒
Shouts out to the 2 board members, you are also the boss.
Now you're probably thinking, wow, you're probably biased. To that I answer… yes. Here is pretty good📝🩼👨🏽‍🌾🤪🤖🐟🦗",Bogdan
343,Twinkie,I tried to see what it could do. And it couldn't.,Bogdan
344,Adam Badawey,"Wallah I live there, really good it 11 out of 10",Bogdan
345,Cowpoke Balga,People are whack and not enough hamburgers are sold since half the school is vegan,Bogdan
346,Daniii,Nice,Bogdan
347,Mr. Emin,"Good school, with many different students, and there is a canteen, the prices are a bit bad but fine enough, there is a cinema and computers, etc.",Bogdan
348,Melvin Bidstrup,Really cool establishment and a generally good experience in the building with lots of history,Bogdan
349,Cupids Heaven,"This place is garbage.

It doesn't really matter which field of study you choose, as you will most likely never work with it in high school.

I don't know who makes the charts, but I sincerely hope they never have children so that their indifferent, pathetic bloodline stops here.

Very few of the teachers here are good. Most are constantly late for their own classes, and some of them are generally just terrible at their work (learning from themselves).

I hate this place with all my heart.",Bogdan
350,Bullowich,if there are problems at school you get a conversation with the study counselor in a not so nice tone which then ends with total ignoring where they hope they can get you to stop. has happened to several….,Bogdan
351,Anton Birch,"who asked Bob, step back to your mother's basement",Christian
352,Finn Pehrson,Overwhelming emotions when handing over diplomas.,Christian
353,Bob Marley,Cannot be recommended. Low level.,Christian
354,Josias Holm,,Christian
355,Nick Jørgensen,,Christian
356,Gianmario Piras,"I give this gym 2 stars because it is not worth what it costs for me. It should be a better level than many others that cost half but, there aren't many courses available, in fact they are few, the cardio machines half have been broken for months. In the changing rooms there is always a lack of paper and soap in the showers. For 449 kr I don’t even have a drink included, if it weren't for it being close to my house I would definitely go back I wouldn't stay. At least the music it’s really good, and the staff is kind. 😊",Christian
357,Julie Taeko,"Absolutely love this gym, as it has a wonderful music playing at all times, and a live DJ on Tuesday evenings from 4 to 8 PM. They offer a few classes, and these gym-goers are very motivated people. So it makes you feel like you should work harder, and overall, I get a fantastic workout done! Also, this location has 2 floors.",Christian
358,David O. Andersen,"Loungey gym with a unique atmosphere. Two floors of weight and machines, live DJ at peak hours, open 24 hrs.",Christian
359,Tails Hon1nbo,"Was a Simple sign up for my relatively short visit (few weeks), even as an American that doesn't speak any Danish. The late night access was automated and worked pretty well",Christian
360,Marina Orenga Sànchez,Really nice club with loads of equipment,Christian
361,Aleksandar Maricak,Relative okay gym. Matrix machines are not the best and the Nautilus were better before renovation. Dumbbells are not put in the correct location and it is always overcrowded. Not enough machines compared to the demand.,Christian
362,Type One Fitness,They changed the cost of a guest fee from 50kr to 69kr and the new Matrix equipment is so so so uncomfortable. Since PureGym took over this place it is easily the worst gym in Østerbro!,Christian
363,Ẹniọlá,"Go-to location.
Very spacious and always clean.
Staff are nice and helpful.
And overall atmosphere is very easy going yet focused and motivating :)

Check it out yourself though",Christian
364,KlippeG,"Nice location, but very small center compared to how many people train there. You have to be lucky sometimes to get a treadmill. It has been a chronic problem since I started there last summer that many treadmills do not work, and unfortunately it is only getting worse. Has a good area in the basement for stretching",Christian
365,Arthur Golshani,"Top gym ! Top équipement, ideal for foreigners as it is possible to get daily / weekly pass.",Christian
366,Huttan T. L,"As someone who have been in all FW's in Copenhagen, this place is by far the most horrid. Rude staff who seems like they hate their life. They lack a total grasp on how to give service (Talking ESPECIALLY the female ones). There is also ZERO atmosphere and place is very dirty and STINKS  utterly on each of its three (Small) floors . Just find another place than this, because this place is so outrageously bad it drains you from all motivation. Not exaggerating.",Christian
367,Mathias Moslund,Good gym!,Christian
368,Lisa Apers,"Okay, it would however be really nice to have an indicator somewhere of how crowded it is. Also sometimes they play the music really loud (so loud that with headphones with noise cancelling even at the highest volume I can still hear it). Not even mentioning the music taste 😶.",Christian
369,Krzysztof Turczyn,"This place is great!
They have all you need and they're open 24 hours, if it was even a bit dirty it's because lazy members do not know how to behave! People working there are trainers and office staff they are not your slave and they are not there to clean you mess! But there is one thing that drives me crazy and I was trying to ignore it but it is a bit hard now... the music when the staff leaves. If any staff employee of FW is reading it, can you PLEASE contact the staff in this gym and asked them to when they leave at 8 PM maybe set some radio or some motivational music? There was this one day that the song got stuck it was play allllllllllll night long, the same one song, and it was not even a good one, and literally after 40 mins I left coz not even my headphones helped. And yesterday there was some country music. In general after 8 there is always ""not the best music"" and I think if it's like this I'd prefer to work out in silence.
But otherwise as I mentioned great place.",Christian
