ID,text,rating,enterprise,Not Determined,Staff,Equipment,Hygiene,Location
335,"I’ve been a member for 3 months, and I’ve got to say the new management is doing a great job. Clean, open and welcoming. Not too many machines, but plenty of room for circuit training.CrossFit, cardio, stretching, body weight, running, free weights, and machines.",4.0,PureGym,0.0,1.0,-1.0,1.0,
336,"Fitness world interesting sports club  there is a variety of sports equipment, the staff are nice, you have to avoid peak hours because there is a queue for training, the problem that I found  there aren't all the information about roles of subscription, for example when you want to take a vacation you can freeze the month, or also if you want to unsubscribe this month you have to pay another month and it was the surprise for my case and all this information is not clear at the beginning. in my opinion it better that they give notes about all the ruls and the options with 2 languages Danish and English for be Easy for all people or put it on the wall in the reception",4.0,PureGym,-1.0,1.0,1.0,,
337,"I cannot comprehend how anyone could open a gym of this size without thinking about any ventilation or air conditioning whatsoever. Its humid, smelly, unpleasantly hot and always crowded… Not to mention that the distribution and number of equipment is terrible… Say good bye to bench press - you wont be able to find empty bench for you.(But the staff is nice and kind)",1.0,PureGym,0.0,1.0,-1.0,-1.0,
338,"Terrible customer service! I once been there as a guest to a class under a friend’s membership (+1 guest). I have never had a membership there and has never signed up for one, yet I have been receiving emails to pay 4 months with interest for late payment?! - and then they started sending me new emails on my e-Boks. Since when I have given you a consent to do so?? Every time I stop by the gym to raise this, there’s no one to ask. and there is no number associated with the gym to call!",1.0,PureGym,-1.0,-1.0,,,
339,"3,5*Good location, close to metro station.Employees are nice and helpful.Gym is usually clean but very small and you spend some time just waiting for machines.Recommend to check favourite times so you can avoid busy hours.Ventilation is probably not existing and there are so many people who don’t follow gym’s rules.The price (319dkk) is not matching to what you get.",3.0,PureGym,0.0,1.0,,0.0,1.0
340,"STAY AWAY!!!They got ALL my contact informations wrong. So I had no real way of paying my monthly subscription, be course I could not log in. HAhaha. Then they went all RKI on me. Agressive bunch.I ended up just quitting, paying the bill and moving to a better gym that's more organized.",1.0,PureGym,-1.0,,,,
341,Some of their machines are old and in need of maintenance. Their treadmills are in really bad state but as you can see on the picture a technician is on the way. Months and months has passed and no sign of this technician. If you tell the staff in the center or contact then on email they will say that the they have escalated this issue but the fact is the management don’t care. It will soon be a year with no repairs being made…,1.0,PureGym,,-1.0,-1.0,,
342,"I'm foreigner and what I perceived from this gym it was:Some of the staffs are incredible unprofessional.Employees must be trained on which are the rules and procedures.P.s. a bit of politeness would be appreciatedThank you,Steve",1.0,PureGym,-1.0,-1.0,,,
343,Not the best I have been at but need some more times at the Gym before evaluating,2.0,PureGym,0.0,,,,
344,Good,4.0,PureGym,1.0,,,,
345,Few people，just do yourself and feel cozy……,5.0,PureGym,1.0,,,,
346,"newly renovated gym, with new and fresh equipment. the place is packed on evening, and perhaps because this is the best gym for the monthly fee in the area. Highly recommend",5.0,PureGym,1.0,,1.0,,
347,"A decent gym. Huge, many machines of the same type, good condition.",5.0,PureGym,1.0,,1.0,,
348,One of the largest gyms I have ever seen with all the machines you can imagine and the staff are really nice and helpful. Never had a problem with cleanliness! Wide variety of classes are available.,5.0,PureGym,1.0,1.0,1.0,1.0,
349,You managed to destroy what was a decent gym with a lot of equipment. It got transformed into a walking area with machines for old people and empty space. Embarrassing!,1.0,PureGym,-1.0,,-1.0,,
350,Still no soap in the shower. And the pins for hanging up the towels are almost all broken.,4.0,PureGym,-1.0,,,,
351,"It is an okay gym, some of the equipment are not working (like some of the treadmills), it has a decent variety of machines, there is some (limited) space for free weights and it does *not* offer classes.Stuff is friendly, options of memberships are very limited. For example, you can't work out without starting a binding contract that states that when you stop the membership you'll have to pay the current + the next month. That's pretty strange as in another branch I could just pay for a week of use without any strings attached.Other than that, you can surely do your workout here but it doesn't compare to other more central/maybe more expensive gyms.",3.0,PureGym,0.0,1.0,0.0,,
352,"Well it's there, pretty messy and the equipment has seen better days",3.0,PureGym,,,-1.0,-1.0,
353,"Best every, the location is perfect.",5.0,PureGym,1.0,,,,1.0
354,Great,5.0,PureGym,1.0,,,,
355,"Okay gym, but lacking in many areas. Puregym on nørre voldgade fredericia has a lack of old and defective machines, a lack of cleaning and hand soap and the machine for all in is never filled. It is not acceptable with the 399 it costs for my type of abb",2.0,PureGym,0.0,,-1.0,-1.0,
356,"Amazing gym very large with everything you could possibly need! A seperate section for each body part I.e. legs, chest etc. Also includes a sauna and showers but never used it but from what I saw looks great!",5.0,SATS,1.0,,1.0,,
357,"This gym has seen better days. Devices are old, often broken or make squeaking noises. Steam sauna closed down permanently. Regular sauna and showers are broken since weeks. Not worth the high fees. You find better gyms in Copenhagen for half of the price.",1.0,SATS,-1.0,,-1.0,-1.0,
358,"Wasted potential. This could be a good gym, but their obvious desire to minimize spending really hurts the customer experience.Equipment is broken for weeks (sometimes months) at a time. Showers work intermittently, and when down, also take weeks to fix.Locker room has lots of almost all half size lockers (many of which are broken) and these are only half occupied even at peak times. So why not install a room of full length lockers and keep them in working order? That would cost money. Can't do that it would seem.There was a steam room. It was closed in early 2022, supposedly due to high energy prices at the time. Never reopened. No reason given, other then the ridiculous argument that somehow, by keeping it open, the whole business would fail and the gym would then have to close down.And the minimal staffing means there's nobody to enforce the rules (CLEAN THE MACHINE WHEN YOU ARE DONE!) or do little things like fill up soap dispensers in the bathrooms and showers.",2.0,SATS,-1.0,,-1.0,,
359,An excellent location Gym few minutes walk to the main city street. The gym is located in the ground level and has complete running facilities and gym equipment for power lifting and bodybuilding.,4.0,SATS,1.0,,1.0,,1.0
360,Good gym with everything you can think of. Equipment nearing a need of refresh and staff nowhere to be found. But can do proper training here,3.0,SATS,0.0,-1.0,1.0,,
361,"In Copenhagen for 6 nights and my hotel had a terrible gym, so I searched for a nearby gym and found SATS. I found this gym to be great! It has just enough equipment to get in a good workout. I never had to wait for anything. The team was also super helpful with getting me day passes.",5.0,SATS,1.0,1.0,1.0,,
362,"Newly nice renovated gym. Classy and has a nice view to the street. All the equipments, cardio machines and lockers in the room are brand new and nice. The men's shower room has only five compartment room compared to the old ones which have around eight. There is a sauna too. The voice echo from the women's bathroom loud as it gets and everyone from the men's room can hear everything. Not sure if the management have notice it. In comparison from other SATS gym this place relatively small.  Great location fitness center and accessible to public transport few minutes walking distance to the central station and Tivoli gardens.",4.0,SATS,1.0,,1.0,,1.0
363,5-star rating for the second floor lounge. I was running around the park 630am and needed a bathroom and a coffee. SATS is perfect for just that. I didn’t try the gym. Neither do I see the point of paying for cardio machine when you are so close to a beautiful park in summertime.,5.0,SATS,1.0,,,,
364,"The gym is ok, although with rising prices I guess it became a bit expensive for what it offers. It is a bit small but very modern and fairly clean. At least more than other gyms I have seen in Copenhagen. It is often packed when it comes to using the barbell stations but definitely, I have seen it worse.The staff is usually nice, although when you have a question (e.g. about billing etc.) it is all managed in a very confusing way. I do not think is their fault, but rather something related to their internal procedures and IT systems.The classes are in Danish, but you can also find classes in English. Besides the language barriers, I find the classes useful and entertaining. Usually, the instructors are of a good level and there is quite a good variety.The app is a welcome help for booking classes and other functions, although sometimes the user experience could be improved (and the same with the website).I am still a client and I think the gym has the potential though to become even better. It depends on what the management will make out of it.",3.0,SATS,0.0,1.0,,1.0,
365,"Small, but well equipped fitness center.SATS have a bunch of different spots in Copenhagen and if you don't like the size, there are always others.Personally, I feel like this is one of the better, if you just want to get in and do a workout and get out. You'll rarely wait for a spot anywhere.They have everything you need including 6 squat racks / power cages and a bunch of free weight stuff, cardio machines. The only thing lacking is team workout.The changing rooms are good and spacious.It does get extremely hot in the summer here, which is why I didn't give it 5 stars.",4.0,SATS,-1.0,,1.0,,1.0
366,"Probably, my favorite SATS in Copenhagen. You can enjoy the harbor view while you train. I would only like a couple of things to be improved: the ventilation in the treadmills area and the sauna. I think it’s a shame that the sauna is in such a bad condition if you compare to Copenhagen’s municipal swimming pools. But probably it’s customers fault, who put all kinds of liquids on the oven, which they are asked not to do.",4.0,SATS,0.0,,,-1.0,
367,"Sauna 😊 Could be slightly warmer, but better than municipal swimming halls' saunas.Good machines and nice personnel. In quiet times, this is definitely a place to train. Sometimes, when it's busy, some queueing time for machines, but hasn't been too bad during the month I have been using the gym.Free entry included in room price for Radisson Hotel guests.",4.0,SATS,1.0,1.0,1.0,,
368,"The view is amazing. I am satisfied with the changing room cleanliness (although I usually go out of rush hour). The staff is also nice.But where am I supposed to train? There is this small area for floor workouts where 2 people (max) fit, if doing jumping jacks, burpees or similar. No place to combine jumping, weights and floor exercises. You should also put a few pairs of small barbels upstairs, so I don't need to go to another universe to fetch pair of 3kg weights. It is also super hot inside, which is weird since it is below 0 degrees these days in Copenhagen. I was told that summer is unbearable. Air conditioning and a set of small weights on the second floor would be appreciated. thx :)",3.0,SATS,0.0,1.0,-1.0,0.0,
370,"They raise membership prices without any warning, they closes the sauna without any explanations or due date, it takes them weeks to fix broken machines, and the changing room are usually disgusting at all times. No need to mention it is overly expensive, and that they don’t offer membership options (the only one being Mon-Fri until 3pm VS anytime, for 40kr difference). Furthermore, they brand it as Spa when there is only one small sauna which just reopened after several weeks, and is now missing features such as time and sensor. Unacceptable.",1.0,SATS,-1.0,,-1.0,-1.0,
371,"I worked out here for a few days while passing through. The day pass cost is higher than surrounding gyms, but it is on par with other cities. The facilities are a little old, but the equipment appears to be maintained well. There are plenty of racks, bumper plates, KBs, and dumbbells. The cable circuit machines are separated from the weight room, which is nice. Trainers did not overwhelm equipment or crowd people out. Opens early so you can get done and go to work.",4.0,SATS,1.0,,1.0,1.0,
372,"Overall clean gym and welcoming personnel.Nevertheless, the lack of maintenance leaves a bad taste, as for the same price you can have many more services in other  gyms, if you are willing to have broken locker rooms, for example.",3.0,SATS,0.0,1.0,-1.0,1.0,
373,"Not sure why this place has just a mediocre rating. It's very spacious, quality machines, great vibe, excellent customer service. Super clean, too. 💪",5.0,SATS,1.0,1.0,1.0,1.0,
374,"Quite small, so you often have to wait in a queue in order to use the equipment. The machines are placed so close to each other that there are barely any space to walk around them. Rather worn down as well, especially in the locker rooms, where many lockers are broken. Not worth the price.",2.0,SATS,-1.0,,-1.0,,
375,"Recently upgraded with new machines on top floor & Additional weights.Kept decently clean, usually not too busy, sauna, large stretch/mobility area. Great staff.The downstairs is where it's at. Racks on racks on racks all with full platforms. + A grass area for sleds and more.",5.0,SATS,1.0,1.0,1.0,1.0,
376,"Good gym at a great location. Friendly staff. Unfortunately Danes do not know gym etiquette: all weights are left on barbells. That's a big minus, but not fully FitnessDK's fault.",4.0,SATS,1.0,1.0,,,1.0
377,Great staff! Helpful and friendly!But the center itself feels rusty and old compared to SATS on nørrebro.,2.0,SATS,,1.0,,,-1.0
378,"Great friendly, helpful  staff. Spacious training areas…Air conditioning would be nice in summer !!!",4.0,SATS,1.0,1.0,1.0,,
379,Why do you have so few group classes comparing to other Sats places? Its unfair,2.0,SATS,-1.0,,,,
380,Pretty large gym. Large section for CrossFit-type training and even larger section with machines.,4.0,SATS,1.0,,1.0,,
381,Long time ago I’m trying to explain what i feel after subscribe myself in this place .Horrible 😤1 of all is not clean2. All machines and divices are completely old old but very old and used . (Sometimes completely broked for a weeks)3. All the time is busy is full u never can workout normally .4. You cannot see with wich Weight u work5. All this with the most expensive price in the city ? Really?!?!?With 2 words: DONT SUBSCRIBE YOU HERE !,1.0,SATS,-1.0,,-1.0,-1.0,
382,"Unfortunately the gym is quite filthy all around. You cannot go and stretch on the mats without seeing the whole floor and the mat covered with little flakes (skin, dandruff...) and the smell of sweat. The dressing rooms are not any better. Generally, there should be cleaning happening at least 2-3 times a day. Now I already spoke with the employees and they said that they are doing it themselves and they only do it in the morning. That is a shame that the floor workers are taking care of the cleaning when there should be professionals doing it. This is not good enough. Additionally, the gym equipment and dumbbells are left lying around after use, so you cannot tell whether people are still using them. Not worth the money.",1.0,SATS,-1.0,,,-1.0,
383,"Really nice atmosphere. There is a good space for stretching after a work out. Well lit and with lots of natural light through the windows. The staff always say hello and thanks for training when you enter and leave. The changing rooms with sauna and steam room are awesưel.The classes help me so much! Training in group is such a great time, push you to complete the tasks and achieve your training goals.Especially, love the yoga class and the room as well",5.0,SATS,1.0,1.0,1.0,,
384,"The workers from the reception they don't even move... the service its so so bad... They don't have any qualification, the guy who gave me the subscription he didn't know how much I would payed and he lied to me.. he told me one month free, and I didn't get any month for free.. its was scam. Horrible service.",2.0,SATS,-1.0,-1.0,,,
385,"UPDATE: I adjusted my rating because I have had a couple of rude encounters with the staff members. The young guys and girls at the counter really need to be taught how to provide good customer service because their condesending attitude is not affecting the outlook of the gym in a positive way...------Pretty decent gym, still missing some basic equipment here and there, but overal it’s a quite okay gym. Some problems I have with this facility:- Only having one leg extension machine- No proper pull-up bars with the possibility to do different grips- Overall, too small free weight section that 9/10 times reeks of testosterone. Literally. It stinks.- Don’t bother going on weekdays between 16:30/19:00, then your workout will last more than twice as long because of the amount of waiting on equipment and machines.- The music in the downstairs area is way too loud most of the times. If there was a boxing class going on, fair enough, but that’s usually not the case.- Classes that take place (and they do a lot) on the rubber matting downstairs take up a lot of space, time and equipment. I make the effort avoiding going to the gym around those times because there won’t be any equipment left to use.Good things:- Loads of space compared to other gyms- Has equipment that regular (cheaper) gyms don’t have > think more CrossFit minded gym set-up- Enough squat racks (on quiet moments of the day)- Eleiko weight plates, we like that- Both mens and womens barbells- Centrally located- People training here are more professionally minded, keep to themselves and don’t bother others > the mindset and vibe in this gym is very pleasant.But other than that it has everything you need and it’s okay priced when you’re a student just visiting this facility. Otherwise, I would probably find a different gym.",1.0,SATS,0.0,,1.0,,-1.0
386,"Large and spacious center with lots of equipment, however a lot of people go here so it is always crowded. Good for treadmills and such, not the best for weight training as they are either missing or occupied.",3.0,SATS,0.0,,1.0,,-1.0
387,"For the money you pay the quality of the gym is very low.- very dirty, everything is sticky- for some reasons there are like hundreds of cardio machines and limited of lifting machines- machines placed in a completely random order- lack of weight plates and no order for these either- showers slippery one needs to have Spider-Man abilities to walk there- showers and sauna very dirty- ok friendly staff",2.0,SATS,-1.0,1.0,-1.0,-1.0,
388,A really good gym with a lot of equipment and other utilities (sauna etc). It has a great manager and other friendly employees that are always willing to help and provide information.Went here for 5 months during my exchange abroad and honestly it is really good.,5.0,SATS,1.0,1.0,1.0,,
389,"Dirty, a lot of the equipment is broken. Basically only 3 toilets working at least for men. toilets are always very dirty.",1.0,SATS,,,-1.0,-1.0,
390,"+ Big, nice view from some parts+ Two nice saunas- Small locker room, pretty dark. The lockers are tricky sometimes- Crowded. No space because they have put equipment and machines in every corner of this gym?",3.0,SATS,0.0,,,,
391,"Small but cozy gym. Always very clean, well maintained and in order. The space is very open, doesn't feel suffocating. The equipment feels new. The atmosphere is great — people are respectful and welcoming and the employees are warm and friendly. It's not the biggest gym but has everything you need for weightlifting!",5.0,SATS,1.0,1.0,1.0,1.0,
392,"I should not have believed the positive reviews before joining. This is possible the worst gym I have been in Copenhagen. It's CROWDED and the layout is terrible, there is just 1 machine for some basic exercises so you will always be waiting (just 1 machine for leg press, leg extension, chest flies, etc..). Other than that, the gym is old and in need of renovating. To make it even worse, the customer service in the call center or email is rude and won't listen to anything you might have to say. Avoid.",1.0,SATS,-1.0,-1.0,-1.0,,
393,"Medium size gym with aerobics classes. Instructors and staff are professional and friendly. Amazing view over the water from 1. floor. Parking can at times be challenging and a bit hazardous, as the beach road is quite narrow with a lot of traffic, so be careful when exiting or entering car!",4.0,SATS,1.0,1.0,,,
394,"The facilities are very good,the stuff is ok,  but the lack of air conditioning at the cardio floor makes it a disgusting sweaty sauna. There are a couple of fans but it's impossible to work out for more than 30 min without feeling you gonna pass out. When the sun hits the glass roof doesn't make it any easier",3.0,SATS,0.0,1.0,1.0,,-1.0
395,Excellent facilities with view to the ocean!,5.0,SATS,1.0,,,,1.0
396,"Meget meget dårlig everything is broke and is not clean and is very bad very expensive, very bad to worse Fitness, icy ever in my life",1.0,SATS,-1.0,,-1.0,-1.0,
397,"The legend has it that the Sauna used to function once… it’s been out of order for months now. Escalators always out of order... 4 soap dispenser in men’s shower, always empty. So far worst Sats I’ve been to.",1.0,SATS,-1.0,,-1.0,,
398,"While it is spacious and with the ability to brag about a wide variety of equipment, the standard of several machines, is low. Many of the treadmills are particularly noisy (moreso than one would normally expect) due to lack of maintenance, same with the exercise bikes. Lack of maintenance is one of the major characteristics of this center. Things are more than often quite worn, or parts might be missing from certain equipment.While the staff is friendly, they don't, in my experience, care much about upholding the rules of the center. At this point, after 1,5 years of attending this SATS, it seems the the patrons can behave however they wish. People lob around their backpacks and dufflebags in the training area, they go barefoot and may talk on the phone loudly (normally I'd be completely fine, but the noise level is consistently high, even if I wear headphones blasting loud music). Along with this, hardly anyone puts the weight plates back where they belong and even fewer wipe down the machines/equipment after use (The older crowd is good at cleaning up after themselves though, kudos)The mens changing room is usually not that pleasant an experience, the patrons like to cough and blow out their snot and phlegm  into the only sink in the dressing room, providing the rest of the patrons with even more unsanitary conditions. Sometimes it smells like someone is cooking in there. I'm yet to find the source of it, but it's an odd smell for a changing room.All in all, the center could, by providing the patrons with proper, sanitary and pleasant exercise conditions, flourish much more than it is now. I believe it would take a good effort from the again, friendly staff, by making sure that rules are followed by the patrons.",2.0,SATS,-1.0,0.0,-1.0,-1.0,
399,Okay but it lacks mirrors (TRX area) and air circulation. An upgrade of the machines would also be helpful.,1.0,SATS,0.0,,-1.0,,
400,"The dirtiest gym that I have ever been to. Been here multiple times since it’s the closest one, but both the smell and mess is outrageous.",1.0,SATS,,,,-1.0,
401,"They simply dont clean this place enough. It needs an extremely thorough cleaning and much much more regular cleaning.  I will omit the pictures from the showers.  Seriously, especially in the age of hygiene!",1.0,SATS,,,,-1.0,
402,"If you are looking for the worst gym in Copenhagen, you will find it here.bad service, and if you are going to train with your partner or friends who know something more than you in the world of fitnesssome of the staff will feel threatened to the point of rudely interrupting your training to tell you that you can't do PT in the gym.It is unfortunate that they focus their job in ruin your experience.I think I haven’t seen such a bad gym in any part of the world. They doesn’t focus in the client experience at any point. They just take your money and give you bad quality.",1.0,SATS,-1.0,-1.0,,,
403,"General vibe bad. Situation seems like: ""We know we're not going to renew this lease, so let's put in the minimum effort and money and keep the place open."" They really should clean the equipment better, and more frequently, than they do.You've only got about a 75% chance that the steam room is working in the men's lockers (and this was before they made up the lame excuse of energy cost). It often breaks, and stays broken for long periods of time, and has been closed for over a year and a half as of summer of 2023. No idea why they can't keep this running. There was also a missing plank in the sauna bench that took over 6 months to fix. So, maintenance is pretty bad all around.Note that sometimes they do classes out on the gym floor on the second level. So you're somewhat constrained when that happens, and you best like the music they are playing or you'll want to be on the ground floor instead.",2.0,SATS,,,-1.0,-1.0,
404,"A few stars for a nice location, however the place itself is dirty, machines are old / out of order, it’s lacking equipment and floor spacing (they rather want to sell clothes than utilize space for actual fitness equipment for us to work with). Cannot recommend",2.0,SATS,,,-1.0,-1.0,1.0
405,"Underwhelming. SATS has the reputation of being a bit of an upper-class gym according to the pricing compared to other gyms, but in reality it’s filthy. Mold, dirt, outdated equipment…. The workout areas are not thought of to make them comfortable.",1.0,SATS,-1.0,,-1.0,-1.0,
406,"Messy, unorganized and strange gym culture. Very urban.",2.0,SATS,-1.0,,,,
407,"Alright so the staff don't know the rules. First they say I can pause for 6 months with no problems, then it's 4 months and it costs 150 per month. It costs you to stop the membership and it will cost you to start it again.im paying +300dkk per month, for that price, I'm expecting much better service than this. Every time I want to do something the system is down. SATS will change your rules if you haven't been with fitness Dk for Long. The gym is big, and NO ONE re racks their weights. If I wouldn't have this gym at 100m I wouldn't honestly come back and I've been going to different gyms to +10 years",1.0,SATS,-1.0,-1.0,,,
408,"I just canceled  my subscription at sats valby. The gymcenter changed from fitness.dk to sats and since then alot has happened. The price has gone up efven though is the same facilities and the latest months there has not been half of the facilities f.e sauna and showers, due to renovation. I can understand that there is a strive for keeping the gym in shape but its a really bad timing to bump up my subscription when I only can use half of the facilties. By the way, the facilties are still dirty.-Servicewise : I've trained there for two years and never got a hi or bye, that should say something about their service",1.0,SATS,-1.0,-1.0,,-1.0,-1.0
409,Mohamad was a great help and went above and beyond. The customer service is top notch and I would recommend Sats to everyone!,5.0,SATS,1.0,1.0,,,
410,Its a good facilty with 2 floors for working out. All of the staff members are nice and always greet me and tell me goodbye when i leave. Not giving 5 stars because the mens toilet always smells bad. Not counting that a solid 4 stars,4.0,SATS,0.0,1.0,,-1.0,
411,"The locker rooms and bath facilities are in terrible condition. Rusty, dirty, and simply worn-out and broken. Also, the young people at the front desk are either not there or are sitting in the lounge area looking at their mobile phones. At least they could swipe the floor.",2.0,SATS,,-1.0,,-1.0,
412,"I don’t usually write reviews but this is by far the worst gym I have tried in my life. Equipments are old, staff is not friendly/welcoming, minimal classes outside work hours (who’s going to them?!?), no warning that cycling classes need your own shoes (what a waste of time turning up) and I was told there will be English classes (no one spoke English). Save yourself the hassle and join another gym or are all gyms this terrible in cph?",1.0,SATS,-1.0,-1.0,-1.0,,
413,Horrible internet connection. Staff knows about it and it brings frequent complaints but the management won’t do anything about it.,1.0,SATS,-1.0,,,,
414,"Perfect geographical location. Unfortunately, equipement is so mid and kinda rusty in some cases. No problem with the staff tho. But accessoire wise, there's a lot of room for improvement.",2.0,SATS,0.0,,-1.0,,1.0
415,"Poor service for the price, but its the same with most gyms in copenhagen. Standard equipment, short opening times, very small facility and lack of good hygiene. Membership is way to complicated and overpriced.Staff is usually nice and its not crowded.",2.0,SATS,0.0,1.0,-1.0,-1.0,
416,"The star is only for friendly staff.The gym itself is a mess, and looks like no one is keeping it clean.Sauna not working. Showers are under renovation but they didn’t install emergency showers either. Not even to mention the changing area 🤢 with old fashioned method of lockers.",1.0,SATS,-1.0,1.0,-1.0,-1.0,
417,"The pictures of the gym must be atleast 10+ old, because the place looks nothing like that. Alot of old equipment, areas that looks like a storage room. Seems like the owner just doesn't care about the state of the place.",1.0,SATS,-1.0,,-1.0,,-1.0
418,"The men’s showers are better now, but still room for improvement",3.0,SATS,0.0,,,,
419,"small basement gym, alot of old equipment, alot of broken machines, not ok, compare to the price for membership",2.0,SATS,-1.0,,-1.0,,-1.0
420,"Old equipment that seems dirty but probably just used,  small lockers, average service. Way below average in general.",2.0,SATS,-1.0,,-1.0,-1.0,
421,"The gym itself is massive with a lot of different equipment and facilities. However, the service which the SATS' staff provides is below satisfactory. I had issues with my membership and none of the clerks tried to help despite me asking. Still, I would recommend this gym as opposed to others.",4.0,SATS,1.0,-1.0,1.0,,
422,Ok,3.0,SATS,0.0,,,,
423,"I have been coming here on and off for 5 years. And it gets worse every time I return!The hygiene in the bath and sauna is under all criticism! Toilet paper, bottles and water on the floor! This is not an isolated case! There needs to be a stronger member policy in the house and more cleaningTraining facilities etc are good",2.0,SATS,-1.0,,1.0,-1.0,
424,"A nice training centre, with good opportunities for self-training with - or without the use of machines and for booking on different teams, if you want. There is a good atmosphere when you walk in the door, and it is my clear impression that the employees do their best to ensure that Sats - Rødovre continues to be a nice place to visit.",5.0,SATS,1.0,1.0,,,
425,"Best place to train in kbh, free parking, and really nice helpful staff",5.0,SATS,1.0,1.0,,,
426,"Been member now for three years. Staff are great and very clean place. Good equipment and for many pieces, been changed in the last few months. Like all gyms gets busy in the rush hour times but not full of a load of tattoo knuckleheads. Nice place and a nice relaxed vibe.",5.0,SATS,-1.0,1.0,1.0,,
427,"Very nice quite large fitness center. Plenty of equipment. Almost always vacant treadmills, bikes and cross trainers. Large spinning studio and two other studios for classes. Staff is very friendly, and people are in general nice. I have been a member the last ten years. There are no xxx heavy dumbbells which keeps away the pro body builder type. You can buy a quite large assortment of fitness beverages energy bars and coffee in the cafe.",4.0,SATS,1.0,1.0,1.0,,
428,"Makes it impossible to cancel membership, and keeps asking for money after with made-up bills.",1.0,SATS,-1.0,,,,
429,Some of the equipment is old and the facilities could be a lot cleaner. The atmosphere is relaxed though.,3.0,SATS,0.0,,-1.0,-1.0,
430,"Partly reasonable gym in the morning and afternoon, but after that it goes downhill. The evening is terrible: shouting groups of young boys who mostly use Sats as a youth club. But the worst part is that it is filthy in the evening - especially the toilets and bathrooms. There is a lot of snuff and wool from socks in the bathroom that needs to be cleaned - and no one mops the floor (neither staff nor users). The sauna and steam bath (closed) are clammy after a whole day of sweat. People use their own rules regarding the sauna, e.g. having an unofficial party with music in the sauna, so that others cannot enter without stinking of peppermint. The training area is also pretty minimal, e.g. no Precor machines or the like. Ventilation is almost always switched off (certainly to save electricity), which means that the air is heavy in changing rooms - especially in bathrooms, water drives down the walls and windows. The air is generally bad in the training area - and in addition there is often a smell of cigarette smoke and car exhaust, which comes down from the parking garage due to drafts (the glass doors are typically completely open). There is also a lot missing compared to previously under Fitnessdk, for example. free coffee. The quality is just decreasing and the clientele is going in the wrong direction: more suspicious types in the evening (and it's not the ones from Gentofte).Bad gym!!!",1.0,SATS,-1.0,,,-1.0,
431,"Flood in mens bath, sauna and steam bath often broken and maybe 8 out of 150 lockers actually work.. So you need to bring your stuff around the gym",1.0,SATS,-1.0,,-1.0,-1.0,
432,Best workout center,5.0,SATS,1.0,,,,
433,"Nice center with brand new, beautiful bathing facilities. There is both a steam bath, a sauna and plenty of space.The exercise machines are not all the latest and that drags you down. There are plenty of opportunities to look out over Herlev town center and I like the air it gives to a training center that there are windows with a view.There is also a bit of CrossFit.",4.0,SATS,1.0,,-1.0,,1.0
434,"After having been a member of Fitness World for 10 years, I chose to switch to rate and keep then a difference. Better machines, more dumbbells, and much more welcoming staff. It is clearly the best decision I made when I chose to switch to rate.",5.0,SATS,1.0,1.0,1.0,,
435,"It has now been difficult to find a cabinet that works for a long time. Today I drove home after trying 15 different lockers where the lock didn't work.Are also tired of their own Corona rules not being followed.So now I'm changing center.Otherwise, I was happy to come there, so I hope they will soon get the various things under control so that I can come back.",2.0,SATS,-1.0,,-1.0,,
436,Great fitness centre with nice new facilities. Only downside is the 2 hour limit on the free parking and a limit number of immediate parking spaces. It is usually not a problem.Good thing I'm reviewing the entire fitness centre and not just giving 1 star because I couldn't figure out the parking facilities like some reviews ;-),4.0,SATS,1.0,,1.0,,
438,You should becarful before u become a member otherwise gonne loss 2 months payments for nothing,1.0,SATS,-1.0,,,,
439,fantastic service. nice equipment.,5.0,SATS,1.0,1.0,1.0,,
440,"Super delicious place with all imaginable training tools from turf, weights and general cardio to cross-country skiing. Lots of air and light and nice changing rooms. There is free parking.Remember that you must use the padlock here and not the membership card for the lockers",5.0,SATS,1.0,,1.0,,
441,"Very good price,very clean place always have promotions for new members I paid 299 kr for the membership and the firts month was free :)",5.0,SATS,1.0,,,1.0,
442,Neat and clean place for workout.,5.0,SATS,1.0,,,1.0,
443,harassment and discrimination by the staf (Christine),1.0,SATS,-1.0,-1.0,,,
444,"The worst rate I have been in. Old and lousy fitness machines, small and bad layout... Find another center so last visit",2.0,SATS,-1.0,,-1.0,,
445,Way too small.. not enough machines and dirty. Practice experience,2.0,SATS,-1.0,,-1.0,-1.0,
446,"Having trained all over the world, I can confidently say this gym is definitely a must. Their daily fee is incredibly fair for everything they offer, I cannot suggest this gym enough. Absolute 10/10 spot.",5.0,Vesterbronx,1.0,,,,
447,"Been to 40+ gyms around the world and this is one of the best. High quality equipment and they have everything you need.Olympic lifting, all machines, booty area, functional fitness, delicious protein shakes.Hagen at the reception is also very friendly. Owners please open this gym in Lisbon! 😀",5.0,Vesterbronx,1.0,1.0,1.0,,
448,"Good location, reasonably good price for Danish standards, open 7 days a week, and super friendly staff by email and at the entrance.Equipment not extremely new but very well kept, good space and when you join, they also offer a free coaching/personal session to guide you! 💪",5.0,Vesterbronx,1.0,1.0,0.0,,1.0
449,"Fantastic gym with tons of equipment. Plenty of options and plenty of space to move around. Lots of racks, benches, dumbbells, kettlebells, bands. Cardio equipment includes plenty of treadmills, bikes, stair climbers, etc.Plenty of lockers available and I was offered a combo lock if needed. Affordable day pass (60 dkk) was easy to pay. There was always an employee at or near the front desk who was quick to help.",5.0,Vesterbronx,1.0,1.0,1.0,,
